fecha,producto,cantidad,precio_unitario
2024-01-05,Notebook,2.0,850000.0
2024-01-12,Mouse,10.0,12000.0
2024-01-20,Teclado,6.0,25000.0
2024-02-03,Monitor,3.0,220000.0
2024-02-14,Mouse,8.0,12000.0
2024-02-20,Notebook,1.0,850000.0
2024-03-02,Teclado,9.0,25000.0
2024-03-10,Monitor,4.0,220000.0
2024-03-18,Mouse,12.0,12000.0
2024-04-01,Notebook,2.0,850000.0
2024-04-15,Teclado,5.0,25000.0
2024-04-22,Monitor,2.0,220000.0
2024-05-04,Mouse,,12000.0
2024-05-12,Notebook,1.0,
2024-05-20,Teclado,7.0,25000.0
2024-06-02,Monitor,3.0,220000.0
2024-06-11,,4.0,12000.0
2024-06-25,Notebook,1.0,850000.0
